dataset,poisoning_rate,defense,metric,n,mean,std,sem,ci95_lower,ci95_upper
Android,0.1,E3_Anomaly_Only,macro_f1,3,0.9136719572904326,0.0026545799820458307,0.0015326224672195523,0.9070776150481751,0.9202662995326901
Android,0.1,E3_Anomaly_Only,macro_precision,3,0.9192468608634687,0.0036722085182516392,0.002120150576533021,0.9101245891978691,0.9283691325290684
Android,0.1,E3_Anomaly_Only,macro_recall,3,0.9107305568574745,0.0031648205649963115,0.001827210005137484,0.9028687067410441,0.9185924069739049
Android,0.1,E3_Anomaly_Only,poison_removal_rate,3,0.04411764705882346,0.007574687553495736,0.004373247898038071,0.02530108005245886,0.06293421406518807
Android,0.1,E3_Anomaly_Only,retention,3,0.9512297666596594,0.000757946452693845,0.00043760058849411337,0.9493469232930353,0.9531126100262836
Android,0.1,E4_PoisonShield,accuracy,3,0.9233841684822077,0.0016639708405794607,0.0009606940127322395,0.9192506357658714,0.927517701198544
Android,0.1,E4_PoisonShield,balanced_accuracy,3,0.9104767634536453,0.0022780525162606133,0.0013152342334911695,0.9048177672886545,0.916135759618636
Android,0.1,E4_PoisonShield,macro_f1,3,0.911146600302124,0.0014666780276851078,0.0008467869540985065,0.9075031701025559,0.9147900305016922
Android,0.1,E4_PoisonShield,macro_precision,3,0.913587929505746,0.0018533428852719027,0.0010700280137124108,0.9089839705516378,0.9181918884598541
Android,0.1,E4_PoisonShield,macro_recall,3,0.9104767634536453,0.0022780525162606133,0.0013152342334911695,0.9048177672886545,0.916135759618636
Android,0.1,E4_PoisonShield,poison_removal_rate,3,0.9586834733893556,0.00849044513514159,0.004901960784313745,0.9375920384396033,0.9797749083391079
Android,0.1,E4_PoisonShield,retention,3,0.8872538714876322,0.0015917338226614324,0.0009189879509918101,0.8832997854716904,0.8912079575035741
Android,0.2,E1_No_Defense,accuracy,3,0.9208424110384895,0.0016639708405794607,0.0009606940127322395,0.9167088783221532,0.9249759437548258
Android,0.2,E1_No_Defense,balanced_accuracy,3,0.9033077467146072,0.002921729242058175,0.0016868611644014885,0.8960497689208868,0.9105657245083276
Android,0.2,E1_No_Defense,macro_f1,3,0.9097204948894534,0.002846721910039073,0.0016435556610690646,0.9026488456378594,0.9167921441410474
Android,0.2,E1_No_Defense,macro_precision,3,0.9185940474959128,0.0029521119930900775,0.001704402653888479,0.9112605947645673,0.9259275002272582
Android,0.2,E1_No_Defense,macro_recall,3,0.9033077467146072,0.002921729242058175,0.0016868611644014885,0.8960497689208868,0.9105657245083276
Android,0.2,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
Android,0.2,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
Android,0.2,E2_Integrity_Only,accuracy,3,0.9230210602759623,0.0016639708405794607,0.0009606940127322395,0.918887527559626,0.9271545929922986
Android,0.2,E2_Integrity_Only,balanced_accuracy,3,0.9086281884377053,0.002545149049548435,0.001469442488884509,0.9023056877016965,0.9149506891737141
Android,0.2,E2_Integrity_Only,macro_f1,3,0.910372900368254,0.0024250717185923727,0.0014001158095334548,0.9043486882583995,0.9163971124781085
Android,0.2,E2_Integrity_Only,macro_precision,3,0.9132373527547202,0.002679035319231647,0.0015467417627269065,0.9065822600871057,0.9198924454223346
Android,0.2,E2_Integrity_Only,macro_recall,3,0.9086281884377053,0.002545149049548435,0.001469442488884509,0.9023056877016965,0.9149506891737141
Android,0.2,E2_Integrity_Only,poison_removal_rate,3,0.9545171339563862,0.00547613577297417,0.0031616484626455768,0.940913658568076,0.9681206093446963
Android,0.2,E2_Integrity_Only,retention,3,0.7891359870429203,0.0021820569224614704,0.0012598111515702165,0.7837154571526479,0.7945565169331927
Android,0.2,E3_Anomaly_Only,accuracy,3,0.9175744371822803,0.004535220042409936,0.002618410512319563,0.9063083260438438,0.9288405483207167
