poisoning_rate,seed,defense,metric,android_minus_malmem
0.01,123,E4_PoisonShield,poison_removal_rate,0.017012642422350566
0.01,2026,E1_No_Defense,poison_removal_rate,0.0
0.01,2026,E2_Integrity_Only,poison_removal_rate,0.02060246605275473
0.01,2026,E3_Anomaly_Only,poison_removal_rate,-0.0776494459185266
0.01,2026,E4_PoisonShield,poison_removal_rate,0.02060246605275473
0.05,42,E1_No_Defense,poison_removal_rate,0.0
0.05,42,E2_Integrity_Only,poison_removal_rate,0.003143979992854651
0.05,42,E3_Anomaly_Only,poison_removal_rate,-0.0353554841014649
0.05,42,E4_PoisonShield,poison_removal_rate,0.003143979992854651
0.05,123,E1_No_Defense,poison_removal_rate,0.0
0.05,123,E2_Integrity_Only,poison_removal_rate,0.02349410503751337
0.05,123,E3_Anomaly_Only,poison_removal_rate,-0.0322543765630583
0.05,123,E4_PoisonShield,poison_removal_rate,0.022851018220793162
0.05,2026,E1_No_Defense,poison_removal_rate,0.0
0.05,2026,E2_Integrity_Only,poison_removal_rate,-0.01088960342979628
0.05,2026,E3_Anomaly_Only,poison_removal_rate,-0.071611289746338
0.05,2026,E4_PoisonShield,poison_removal_rate,-0.01281886387995701
0.1,42,E1_No_Defense,poison_removal_rate,0.0
0.1,42,E2_Integrity_Only,poison_removal_rate,-0.0005146482724716073
0.1,42,E3_Anomaly_Only,poison_removal_rate,-0.0500642670230798
0.1,42,E4_PoisonShield,poison_removal_rate,-0.0014287250549216424
0.1,123,E1_No_Defense,poison_removal_rate,0.0
0.1,123,E2_Integrity_Only,poison_removal_rate,0.01906631025353478
0.1,123,E3_Anomaly_Only,poison_removal_rate,-0.0373312030479468
0.1,123,E4_PoisonShield,poison_removal_rate,0.017542848949451795
0.1,2026,E1_No_Defense,poison_removal_rate,0.0
0.1,2026,E2_Integrity_Only,poison_removal_rate,-0.0032568786198208244
0.1,2026,E3_Anomaly_Only,poison_removal_rate,-0.0602637764429355
0.1,2026,E4_PoisonShield,poison_removal_rate,-0.0041709554022706374
0.2,42,E1_No_Defense,poison_removal_rate,0.0
0.2,42,E2_Integrity_Only,poison_removal_rate,-0.0056599953176116324
0.2,42,E3_Anomaly_Only,poison_removal_rate,-0.0571061573409096
0.2,42,E4_PoisonShield,poison_removal_rate,-0.006878681844355028
0.2,123,E1_No_Defense,poison_removal_rate,0.0
0.2,123,E2_Integrity_Only,poison_removal_rate,0.00638070349723785
0.2,123,E3_Anomaly_Only,poison_removal_rate,-0.038470251013990306
0.2,123,E4_PoisonShield,poison_removal_rate,0.0048911977423294895
0.2,2026,E1_No_Defense,poison_removal_rate,0.0
0.2,2026,E2_Integrity_Only,poison_removal_rate,-0.0002701864729591774
0.2,2026,E3_Anomaly_Only,poison_removal_rate,-0.051838470251014
0.2,2026,E4_PoisonShield,poison_removal_rate,-0.0004188839463675764
